n,k,c,avg_cum_regret
2,2,0.05,nan
2,2,0.1,nan
2,2,0.13,nan
2,2,0.15,18.459630654980185
2,2,0.18,21.795309769112745
2,2,0.2,23.874687842113975
2,2,0.22,nan
2,2,0.25,29.95847379184326
2,2,0.3,nan
2,2,0.35,41.13415677254746
2,2,0.4,nan
2,4,0.05,27.472000216237255
2,4,0.1,39.273183084733425
2,4,0.13,50.67373071445726
2,4,0.15,54.1857046173655
2,4,0.18,64.84276820701817
2,4,0.2,70.42868157712192
2,4,0.22,77.5738018990863
2,4,0.25,87.1343103167945
2,4,0.3,102.03147181128872
2,4,0.35,117.59370515231433
2,4,0.4,132.2763955962795
2,6,0.05,37.223561334417624
2,6,0.1,57.47078768938665
2,6,0.13,70.38060269124944
2,6,0.15,77.84539388364833
2,6,0.18,93.42011983529164
2,6,0.2,102.81928792364018
2,6,0.22,110.89533233274942
2,6,0.25,124.14215113388532
2,6,0.3,146.8212222443175
2,6,0.35,168.71143407177897
2,6,0.4,189.64038279419924
2,8,0.05,44.699737741515214
2,8,0.1,63.76544465747988
2,8,0.13,78.16085199116162
2,8,0.15,86.32259002094926
2,8,0.18,102.82394746680703
2,8,0.2,110.94615145085761
2,8,0.22,120.91437196037957
2,8,0.25,136.1114796740518
2,8,0.3,159.77594408567725
2,8,0.35,182.49323226265744
2,8,0.4,202.085791157636
2,10,0.05,58.91047371938597
2,10,0.1,79.04428349271764
2,10,0.13,96.78129056958885
2,10,0.15,108.3119449838191
2,10,0.18,126.8785177448653
2,10,0.2,137.57163463929322
2,10,0.22,151.43014134577322
2,10,0.25,169.4829092894197
2,10,0.3,196.96735312709447
2,10,0.35,224.57076197483303
2,10,0.4,249.9326349908897
