n,k,c,avg_cum_regret
2,2,0.25,15.288765046831836
2,2,0.5,25.23578912318371
2,2,0.75,37.73856547204338
2,2,1,50.04703497152995
2,2,1.25,62.65485524660969
2,2,1.5,74.94578880950287
2,2,1.75,87.51401655552878
2,2,2.0,90.22306091319561
2,4,0.25,42.728563315948705
2,4,0.5,79.41245429471435
2,4,0.75,115.52032913992223
2,4,1,152.23751498665303
2,4,1.25,187.54968061946005
2,4,1.5,212.99717959946824
2,4,1.75,212.97905621899804
2,4,2.0,214.87745724639072
2,6,0.25,73.53004785311741
2,6,0.5,116.59416603622796
2,6,0.75,168.44764635284963
2,6,1,220.09140655690726
2,6,1.25,268.6374987928809
2,6,1.5,268.91009789877114
2,6,1.75,271.43897390162704
2,6,2.0,270.81206492448575
2,8,0.25,71.96964252873573
2,8,0.5,124.67209834180476
2,8,0.75,185.360805516097
2,8,1,242.42037891511987
2,8,1.25,255.6776489723646
2,8,1.5,253.03294784349373
2,8,1.75,236.55375013591933
2,8,2.0,237.60608284756023
2,10,0.25,88.01479894612561
2,10,0.5,155.84131133851074
2,10,0.75,227.22768474765994
2,10,1,303.99721568284184
2,10,1.25,308.3633989363305
2,10,1.5,304.7463805412504
2,10,1.75,317.81499609464703
2,10,2.0,315.0552364254552
4,2,0.25,4.541280192416519
4,2,0.5,8.863176048973196
4,2,0.75,13.29831311085384
4,2,1,17.67546657845239
4,2,1.25,19.960439169257445
4,2,1.5,20.0530065904884
4,2,1.75,20.144533928334745
4,2,2.0,20.2371013495657
4,4,0.25,17.638523176174694
4,4,0.5,33.10242731680377
4,4,0.75,49.49259193835931
4,4,1,56.7697571287541
4,4,1.25,56.409314502922804
4,4,1.5,58.175889490228755
4,4,1.75,59.87784766203614
4,4,2.0,57.927639894063056
4,6,0.25,30.534273602722596
4,6,0.5,59.30048616300748
4,6,0.75,89.12952648059809
4,6,1,88.46568116545382
4,6,1.25,85.56468959643803
4,6,1.5,84.33578479696075
4,6,1.75,80.87892029370265
4,6,2.0,77.30843537807323
4,8,0.25,52.55560449797614
4,8,0.5,96.60109715986269
4,8,0.75,129.50986921127455
4,8,1,129.39637058376647
4,8,1.25,126.54551245351176
4,8,1.5,126.28618874556852
4,8,1.75,125.63791855402205
4,8,2.0,126.4884852363698
4,10,0.25,68.27139848344984
4,10,0.5,130.28739827324108
4,10,0.75,160.91935727933952
4,10,1,162.25129740246751
4,10,1.25,161.14245850927304
4,10,1.5,157.86539726402228
4,10,1.75,157.71036261568378
4,10,2.0,158.62367977727334
6,2,0.25,3.1739416188870972
6,2,0.5,6.305068897859568
6,2,0.75,9.452434001769202
6,2,1,10.019605158234524
6,2,1.25,8.93735338611209
6,2,1.5,7.845929988802174
6,2,1.75,7.011312096741652
6,2,2.0,7.011312096741652
6,4,0.25,6.848847453592536
6,4,0.5,13.205731874607533
6,4,0.75,16.894162288749147
6,4,1,15.643710777278176
6,4,1.25,14.37227377526815
6,4,1.5,13.609933647056087
6,4,1.75,13.017292476776689
6,4,2.0,12.416853396362038
6,6,0.25,24.425266758108016
6,6,0.5,48.38302441153296
6,6,0.75,56.34406674435794
6,6,1,60.32896953998771
6,6,1.25,59.85818086992087
6,6,1.5,60.0520652909555
6,6,1.75,60.351174116408856
6,6,2.0,61.06241185916896
6,8,0.25,21.95788891484082
6,8,0.5,41.88261704390307
6,8,0.75,44.14420141215619
6,8,1,45.93630326723196
6,8,1.25,45.06331180138365
6,8,1.5,44.35205997258373
6,8,1.75,44.020670186513975
6,8,2.0,43.695908196165604
6,10,0.25,30.916112279745562
6,10,0.5,58.81381318928355
6,10,0.75,60.64565161722504
6,10,1,61.44360615093562
6,10,1.25,60.52414246384577
6,10,1.5,59.61313759385034
6,10,1.75,58.93708705488636
6,10,2.0,58.35659579582769
